=== WAVE-BASED DIVERGENCE EXPERIMENT RESULTS ===
Timestamp: Fri Jan 30 22:36:41 CET 2026

--- Configuration ---
Replica 1: localhost:8182
Replica 2: localhost:8183
Vertices: 300
Number of waves: 100
Updates per wave (per replica): 100
Conflict rate: 100.0%
Update delay: 1ms
Reconciliation wait: 5000ms

--- Time Series Results ---
Wave   Divergence   Same   Different  Missing  Duration     AvgLatency R1    AvgLatency R2   
----------------------------------------------------------------------------------------------------
1      0.00       % 100    0          0        2477 ms      23.48 ms         15.38 ms        
2      16.00      % 84     16         0        2146 ms      20.12 ms         14.97 ms        
3      23.00      % 77     23         0        1577 ms      14.43 ms         12.81 ms        
4      34.00      % 66     34         0        1511 ms      13.72 ms         11.11 ms        
5      39.00      % 61     39         0        1702 ms      15.57 ms         10.89 ms        
6      51.00      % 49     51         0        1536 ms      14.04 ms         10.19 ms        
7      48.00      % 52     48         0        1122 ms      9.86 ms          8.48 ms         
8      49.00      % 51     49         0        1384 ms      12.49 ms         8.03 ms         
9      49.00      % 51     49         0        1199 ms      10.33 ms         10.67 ms        
10     42.00      % 58     42         0        1563 ms      14.27 ms         7.20 ms         
11     55.00      % 45     55         0        1419 ms      12.90 ms         9.47 ms         
12     55.00      % 45     55         0        1584 ms      14.54 ms         8.72 ms         
13     49.00      % 51     49         0        1576 ms      14.44 ms         8.19 ms         
14     60.00      % 40     60         0        1121 ms      9.91 ms          8.95 ms         
15     61.00      % 39     61         0        1289 ms      11.55 ms         10.31 ms        
16     43.00      % 57     43         0        1499 ms      13.64 ms         11.31 ms        
17     49.00      % 51     49         0        1616 ms      14.79 ms         7.96 ms         
18     60.00      % 40     60         0        1716 ms      15.87 ms         10.19 ms        
19     46.00      % 54     46         0        1391 ms      12.59 ms         10.90 ms        
20     51.00      % 49     51         0        1239 ms      11.03 ms         9.05 ms         
21     44.00      % 56     44         0        1541 ms      14.13 ms         8.56 ms         
22     46.00      % 54     46         0        1430 ms      12.95 ms         8.38 ms         
23     49.00      % 51     49         0        1190 ms      10.54 ms         10.46 ms        
24     54.00      % 46     54         0        1442 ms      13.10 ms         11.67 ms        
25     57.00      % 43     57         0        1467 ms      13.37 ms         7.69 ms         
26     47.00      % 53     47         0        1922 ms      17.80 ms         11.24 ms        
27     48.00      % 52     48         0        1403 ms      12.67 ms         11.33 ms        
28     50.00      % 50     50         0        1593 ms      14.68 ms         10.02 ms        
29     53.00      % 47     53         0        1244 ms      9.59 ms          11.14 ms        
30     59.00      % 41     59         0        1466 ms      13.33 ms         9.47 ms         
31     46.00      % 54     46         0        1411 ms      12.71 ms         6.44 ms         
32     56.00      % 44     56         0        1340 ms      12.07 ms         11.64 ms        
33     56.00      % 44     56         0        1421 ms      12.97 ms         9.92 ms         
34     51.00      % 49     51         0        1615 ms      14.86 ms         7.54 ms         
35     49.00      % 51     49         0        1238 ms      11.00 ms         10.19 ms        
