=== WAVE-BASED DIVERGENCE EXPERIMENT RESULTS ===
Timestamp: Sat Jan 31 18:05:01 CET 2026

--- Configuration ---
Replica 1: localhost:8182
Replica 2: localhost:8183
Vertices: 300
Number of waves: 100
Updates per wave (per replica): 100
Conflict rate: 100.0%
Update delay: 1ms
Reconciliation wait: 5000ms

--- Time Series Results ---
Wave   Divergence   Same   Different  Missing  Duration     AvgLatency R1    AvgLatency R2   
----------------------------------------------------------------------------------------------------
1      0.00       % 100    0          0        606 ms       4.55 ms          4.68 ms         
2      0.00       % 100    0          0        1543 ms      14.06 ms         4.21 ms         
3      0.00       % 100    0          0        552 ms       4.16 ms          4.31 ms         
4      0.00       % 100    0          0        587 ms       4.39 ms          4.58 ms         
5      0.00       % 100    0          0        528 ms       4.01 ms          4.04 ms         
6      0.00       % 100    0          0        550 ms       3.99 ms          4.19 ms         
7      0.00       % 100    0          0        470 ms       3.48 ms          3.37 ms         
8      0.00       % 100    0          0        476 ms       3.47 ms          3.48 ms         
9      0.00       % 100    0          0        1602 ms      4.29 ms          14.65 ms        
10     0.00       % 100    0          0        722 ms       5.72 ms          6.02 ms         
11     0.00       % 100    0          0        521 ms       3.90 ms          3.91 ms         
12     0.00       % 100    0          0        489 ms       3.63 ms          3.52 ms         
13     0.00       % 100    0          0        481 ms       3.50 ms          3.42 ms         
14     0.00       % 100    0          0        729 ms       5.96 ms          5.90 ms         
15     0.00       % 100    0          0        511 ms       3.86 ms          3.88 ms         
16     0.00       % 100    0          0        497 ms       3.65 ms          3.43 ms         
17     0.00       % 100    0          0        469 ms       3.42 ms          3.31 ms         
18     0.00       % 100    0          0        475 ms       3.46 ms          3.50 ms         
19     0.00       % 100    0          0        1651 ms      3.35 ms          15.22 ms        
20     0.00       % 100    0          0        590 ms       4.37 ms          4.62 ms         
21     0.00       % 100    0          0        513 ms       3.77 ms          3.92 ms         
22     0.00       % 100    0          0        532 ms       3.96 ms          4.06 ms         
23     0.00       % 100    0          0        1659 ms      3.06 ms          15.25 ms        
24     0.00       % 100    0          0        501 ms       3.66 ms          3.68 ms         
