elapsed_ms,sample_size,same,different,missing,divergence_rate
494,100,50,50,0,50.00
3905,100,50,50,0,50.00
7243,100,50,50,0,50.00
10667,100,50,50,0,50.00
14036,100,50,50,0,50.00
17408,100,50,50,0,50.00
20721,100,50,50,0,50.00
24058,100,50,50,0,50.00
27426,100,50,50,0,50.00
30883,100,50,50,0,50.00
34242,100,50,50,0,50.00
37546,100,50,50,0,50.00
40892,100,50,50,0,50.00
44215,100,50,50,0,50.00
47604,100,50,50,0,50.00
50880,100,50,50,0,50.00
54255,100,50,50,0,50.00
57530,100,50,50,0,50.00
60259,100,50,50,0,50.00
