=== WAVE-BASED DIVERGENCE EXPERIMENT RESULTS ===
Timestamp: Mon Feb 02 00:55:36 CET 2026

--- Configuration ---
Replica 1: localhost:8182
Replica 2: localhost:8183
Vertices: 300
Number of waves: 100
Updates per wave (per replica): 100
Conflict rate: 100.0%
Update delay: 2ms
Reconciliation wait: 3000ms

--- Time Series Results ---
Wave   Divergence   Same   Different  Missing  Duration     AvgLatency R1    AvgLatency R2   
----------------------------------------------------------------------------------------------------
1      30.00      % 70     30         0        2654 ms      23.78 ms         15.35 ms        
2      42.00      % 58     42         0        2549 ms      22.76 ms         13.94 ms        
3      44.00      % 56     44         0        2597 ms      23.41 ms         14.13 ms        
4      34.00      % 66     34         0        2566 ms      23.01 ms         14.16 ms        
5      30.00      % 70     30         0        2581 ms      22.94 ms         13.95 ms        
6      26.00      % 74     26         0        2536 ms      22.80 ms         14.06 ms        
7      31.00      % 69     31         0        2581 ms      23.33 ms         14.24 ms        
8      28.00      % 72     28         0        2751 ms      25.03 ms         16.01 ms        
9      34.00      % 66     34         0        2526 ms      22.66 ms         13.87 ms        
10     32.00      % 68     32         0        2544 ms      22.87 ms         14.39 ms        
11     29.00      % 71     29         0        2562 ms      22.98 ms         14.25 ms        
12     36.00      % 64     36         0        2710 ms      24.48 ms         16.91 ms        
13     34.00      % 66     34         0        2561 ms      23.05 ms         14.21 ms        
14     31.00      % 69     31         0        2592 ms      23.18 ms         14.21 ms        
15     37.00      % 63     37         0        2793 ms      25.38 ms         16.43 ms        
16     30.00      % 70     30         0        2530 ms      22.60 ms         14.12 ms        
17     31.00      % 69     31         0        2675 ms      24.24 ms         16.03 ms        
18     33.00      % 67     33         0        2550 ms      22.79 ms         14.13 ms        
19     25.00      % 75     25         0        2568 ms      23.04 ms         14.61 ms        
20     38.00      % 62     38         0        2558 ms      22.84 ms         14.17 ms        
21     29.00      % 71     29         0        2718 ms      24.61 ms         15.34 ms        
22     31.00      % 69     31         0        2553 ms      22.73 ms         13.95 ms        
23     26.00      % 74     26         0        2530 ms      22.55 ms         13.80 ms        
24     34.00      % 66     34         0        3022 ms      27.64 ms         18.82 ms        
25     32.00      % 68     32         0        2612 ms      23.46 ms         14.54 ms        
26     30.00      % 70     30         0        2549 ms      22.93 ms         14.04 ms        
27     34.00      % 66     34         0        2567 ms      23.16 ms         14.65 ms        
28     35.00      % 65     35         0        2666 ms      24.00 ms         14.04 ms        
29     37.00      % 63     37         0        2515 ms      22.62 ms         14.10 ms        
30     34.00      % 66     34         0        2569 ms      23.10 ms         14.43 ms        
31     36.00      % 64     36         0        2489 ms      22.38 ms         14.10 ms        
32     33.00      % 67     33         0        2564 ms      22.91 ms         13.77 ms        
33     44.00      % 56     44         0        2563 ms      23.04 ms         14.11 ms        
34     30.00      % 70     30         0        2541 ms      22.75 ms         13.90 ms        
35     27.00      % 73     27         0        2547 ms      22.76 ms         14.29 ms        
36     31.00      % 69     31         0        2569 ms      23.07 ms         14.17 ms        
37     43.00      % 57     43         0        2515 ms      22.51 ms         14.05 ms        
38     35.00      % 65     35         0        2559 ms      22.99 ms         14.09 ms        
39     32.00      % 68     32         0        3444 ms      31.91 ms         15.85 ms        
40     32.00      % 68     32         0        2545 ms      22.98 ms         14.84 ms        
41     32.00      % 68     32         0        2544 ms      22.88 ms         14.32 ms        
42     32.00      % 68     32         0        2595 ms      23.21 ms         14.41 ms        
