_id,_inV,_label,_outV,_type,item
6,1,T-T,3,edge,_label
23,974,T-U,3,edge,_label
26,3,M-T,975,edge,_label
44,4,D-M,1443,edge,_label
49,149,U-T,5,edge,_label
52,5,P-U,1100,edge,_label
53,2308,U-D,5,edge,_label
54,5,D-U,2308,edge,_label
58,6,M-C,18,edge,_label
99,1183,C-D,6,edge,_label
188,11,T-P,299,edge,_label
191,910,P-P,11,edge,_label
192,11,P-P,910,edge,_label
201,12,M-M,12,edge,_label
202,12,M-M,12,edge,_label
214,13,E-T,631,edge,_label
216,13,O-T,1527,edge,_label
226,14,T-G,508,edge,_label
229,15,M-M,15,edge,_label
242,15,F-M,1817,edge,_label
243,16,M-M,16,edge,_label
244,16,M-M,16,edge,_label
245,508,M-T,16,edge,_label
251,369,M-T,17,edge,_label
265,1192,M-M,18,edge,_label
305,417,M-U,23,edge,_label
312,23,B-M,593,edge,_label
337,24,D-D,24,edge,_label
338,24,D-D,24,edge,_label
351,1680,D-C,25,edge,_label
352,25,C-D,1680,edge,_label
356,27,P-D,1501,edge,_label
553,1012,O-B,45,edge,_label
561,278,T-D,46,edge,_label
563,280,T-D,46,edge,_label
564,46,D-T,280,edge,_label
581,1208,T-B,46,edge,_label
588,46,B-T,1808,edge,_label
614,52,O-O,52,edge,_label
620,52,O-O,55,edge,_label
623,57,O-O,52,edge,_label
635,57,O-O,53,edge,_label
650,54,O-O,57,edge,_label
660,55,O-O,57,edge,_label
678,57,F-O,76,edge,_label
690,57,F-O,585,edge,_label
691,588,O-F,57,edge,_label
724,57,F-O,1817,edge,_label
740,57,C-O,2220,edge,_label
762,58,C-E,1310,edge,_label
775,1948,E-D,58,edge,_label
795,62,D-F,60,edge,_label
824,61,C-U,401,edge,_label
829,420,U-T,61,edge,_label
835,425,U-C,61,edge,_label
840,61,U-U,430,edge,_label
847,445,U-U,61,edge,_label
856,61,U-U,642,edge,_label
857,643,U-D,61,edge,_label
874,61,T-U,1014,edge,_label
882,61,T-U,1165,edge,_label
887,1427,U-U,61,edge,_label
888,61,U-U,1427,edge,_label
894,61,U-U,1915,edge,_label
905,1221,F-D,62,edge,_label
913,849,O-O,63,edge,_label
971,67,F-F,67,edge,_label
972,67,F-F,67,edge,_label
987,75,G-F,68,edge,_label
994,68,U-G,663,edge,_label
995,836,G-D,68,edge,_label
1016,69,F-D,334,edge,_label
1028,69,C-D,874,edge,_label
1037,1520,D-T,69,edge,_label
1069,566,M-T,71,edge,_label
1071,664,M-M,71,edge,_label
1073,699,M-O,71,edge,_label
1096,71,C-M,1827,edge,_label
1105,976,R-U,72,edge,_label
1108,72,D-R,1041,edge,_label
1109,1452,R-U,72,edge,_label
1112,73,D-F,583,edge,_label
1120,73,F-F,588,edge,_label
1122,73,D-F,714,edge,_label
1123,752,F-T,73,edge,_label
1138,73,D-F,2143,edge,_label
1179,1439,F-U,75,edge,_label
1181,709,F-D,76,edge,_label
1188,77,U-G,1679,edge,_label
1191,126,U-P,78,edge,_label
1205,81,B-M,79,edge,_label
1211,84,B-B,79,edge,_label
1221,554,U-U,80,edge,_label
1234,80,D-U,2273,edge,_label
1258,82,D-M,2334,edge,_label
1264,83,F-D,306,edge,_label
1286,83,B-D,2221,edge,_label
1306,87,D-G,1475,edge,_label
1333,96,O-O,93,edge,_label
1335,97,O-O,93,edge,_label
1347,103,O-O,93,edge,_label
1380,99,O-O,102,edge,_label
1384,101,O-O,102,edge,_label
1389,1325,O-M,102,edge,_label
1416,107,U-C,1566,edge,_label
1423,664,C-M,111,edge,_label
1425,1208,C-B,111,edge,_label
1426,111,B-C,1208,edge,_label
1648,121,T-U,697,edge,_label
1650,121,P-U,882,edge,_label
1658,122,U-U,132,edge,_label
1670,122,T-U,442,edge,_label
1673,996,U-P,122,edge,_label
1676,122,P-U,1106,edge,_label
1683,125,U-U,123,edge,_label
1689,131,U-U,123,edge,_label
1699,767,U-P,123,edge,_label
1729,132,P-U,126,edge,_label
1741,167,P-D,126,edge,_label
1760,126,T-P,246,edge,_label
1775,302,P-T,126,edge,_label
1782,126,B-P,537,edge,_label
1793,2030,P-P,126,edge,_label
1795,2040,P-D,126,edge,_label
1812,128,U-U,129,edge,_label
1816,128,D-U,134,edge,_label
1817,165,U-T,128,edge,_label
1825,1912,U-B,128,edge,_label
1827,2038,U-U,128,edge,_label
1847,638,U-A,130,edge,_label
1855,1106,U-P,130,edge,_label
1859,131,U-U,131,edge,_label
1860,131,U-U,131,edge,_label
1888,131,T-U,248,edge,_label
1893,445,U-U,131,edge,_label
1900,131,P-U,1440,edge,_label
1913,252,U-U,132,edge,_label
1916,132,T-U,442,edge,_label
1927,252,U-U,133,edge,_label
1934,133,C-U,425,edge,_label
1938,133,T-U,442,edge,_label
1944,133,B-U,537,edge,_label
1956,133,T-U,1511,edge,_label
2064,136,P-O,775,edge,_label
2073,2257,O-D,136,edge,_label
2079,400,T-O,137,edge,_label
2082,137,T-T,490,edge,_label
2157,143,G-G,143,edge,_label
2158,143,G-G,143,edge,_label
2197,1983,G-U,145,edge,_label
2206,146,O-T,147,edge,_label
2224,146,O-T,156,edge,_label
2244,147,T-O,155,edge,_label
2249,167,O-D,147,edge,_label
2278,147,D-O,402,edge,_label
2280,147,U-O,437,edge,_label
2284,147,T-O,474,edge,_label
2285,492,O-U,147,edge,_label
2298,147,T-O,1129,edge,_label
2307,1648,O-D,147,edge,_label
2309,1725,O-C,147,edge,_label
2330,147,C-O,2127,edge,_label
2367,150,T-T,149,edge,_label
2382,149,E-T,328,edge,_label
2383,329,T-E,149,edge,_label
2395,845,T-T,149,edge,_label
2396,149,T-T,845,edge,_label
2399,992,T-T,149,edge,_label
2404,149,C-T,1181,edge,_label
2406,149,T-T,1202,edge,_label
2450,150,T-T,691,edge,_label
2579,845,T-T,155,edge,_label
2585,303,O-B,156,edge,_label
2586,156,B-O,303,edge,_label
2652,160,T-T,1202,edge,_label
2655,197,P-D,161,edge,_label
2667,1010,P-T,161,edge,_label
2695,171,T-U,162,edge,_label
2700,162,F-T,416,edge,_label
2702,162,T-T,490,edge,_label
2709,872,T-T,162,edge,_label
2715,1534,T-E,162,edge,_label
2841,1249,T-C,165,edge,_label
2849,172,T-P,166,edge,_label
2873,1714,T-B,166,edge,_label
2889,442,D-T,167,edge,_label
2892,167,O-D,456,edge,_label
2894,167,U-D,492,edge,_label
2898,167,T-D,697,edge,_label
2903,1249,D-C,167,edge,_label
2912,168,P-P,172,edge,_label
2928,168,T-P,1259,edge,_label
2952,169,C-U,1249,edge,_label
2964,170,D-P,197,edge,_label
2968,170,T-P,200,edge,_label
2984,170,P-P,498,edge,_label
2995,1011,P-T,170,edge,_label
3027,1915,U-U,171,edge,_label
3029,1962,U-U,171,edge,_label
3032,171,D-U,2010,edge,_label
3042,172,A-P,638,edge,_label
3043,996,P-P,172,edge,_label
3089,1227,B-T,176,edge,_label
3090,176,T-B,1227,edge,_label
3091,1228,B-B,176,edge,_label
3092,176,B-B,1228,edge,_label
3122,179,U-B,182,edge,_label
3130,179,B-B,204,edge,_label
3173,946,B-D,183,edge,_label
3199,1279,F-C,184,edge,_label
3206,184,T-F,1806,edge,_label
3207,1886,F-U,184,edge,_label
3221,520,P-O,185,edge,_label
