_id,_type,category,item,oid
2,vertex,6,oid,2
4,vertex,2,oid,4
5,vertex,1,oid,5
7,vertex,7,oid,7
8,vertex,12,oid,8
9,vertex,2,oid,9
10,vertex,12,oid,10
11,vertex,5,oid,11
12,vertex,11,oid,12
13,vertex,10,oid,13
14,vertex,4,oid,14
16,vertex,8,oid,16
17,vertex,17,oid,17
18,vertex,13,oid,18
19,vertex,20,oid,19
20,vertex,6,oid,20
22,vertex,10,oid,22
23,vertex,22,oid,23
24,vertex,12,oid,24
25,vertex,25,oid,25
26,vertex,16,oid,26
27,vertex,2,oid,27
30,vertex,5,oid,30
31,vertex,12,oid,31
32,vertex,10,oid,32
33,vertex,8,oid,33
34,vertex,5,oid,34
35,vertex,8,oid,35
36,vertex,10,oid,36
37,vertex,15,oid,37
39,vertex,10,oid,39
40,vertex,10,oid,40
41,vertex,2,oid,41
43,vertex,24,oid,43
44,vertex,7,oid,44
45,vertex,16,oid,45
46,vertex,16,oid,46
47,vertex,11,oid,47
49,vertex,15,oid,49
50,vertex,8,oid,50
51,vertex,6,oid,51
54,vertex,8,oid,54
55,vertex,24,oid,55
56,vertex,20,oid,56
59,vertex,25,oid,59
60,vertex,16,oid,60
61,vertex,25,oid,61
62,vertex,7,oid,62
63,vertex,25,oid,63
64,vertex,11,oid,64
65,vertex,26,oid,65
67,vertex,28,oid,67
70,vertex,14,oid,70
71,vertex,8,oid,71
72,vertex,10,oid,72
73,vertex,9,oid,73
74,vertex,25,oid,74
77,vertex,24,oid,77
79,vertex,20,oid,79
80,vertex,2,oid,80
81,vertex,24,oid,81
82,vertex,8,oid,82
83,vertex,9,oid,83
84,vertex,9,oid,84
85,vertex,16,oid,85
86,vertex,10,oid,86
87,vertex,10,oid,87
88,vertex,2,oid,88
89,vertex,10,oid,89
90,vertex,15,oid,90
92,vertex,2,oid,92
93,vertex,24,oid,93
95,vertex,6,oid,95
96,vertex,8,oid,96
97,vertex,12,oid,97
98,vertex,8,oid,98
99,vertex,8,oid,99
100,vertex,19,oid,100
101,vertex,25,oid,101
102,vertex,8,oid,102
103,vertex,7,oid,103
104,vertex,25,oid,104
105,vertex,11,oid,105
106,vertex,3,oid,106
107,vertex,25,oid,107
108,vertex,9,oid,108
109,vertex,8,oid,109
113,vertex,10,oid,113
114,vertex,10,oid,114
115,vertex,24,oid,115
116,vertex,25,oid,116
117,vertex,8,oid,117
118,vertex,2,oid,118
119,vertex,22,oid,119
120,vertex,8,oid,120
121,vertex,25,oid,121
122,vertex,25,oid,122
123,vertex,24,oid,123
124,vertex,5,oid,124
125,vertex,1,oid,125
126,vertex,2,oid,126
130,vertex,4,oid,130
131,vertex,8,oid,131
133,vertex,16,oid,133
134,vertex,25,oid,134
135,vertex,11,oid,135
136,vertex,5,oid,136
138,vertex,16,oid,138
139,vertex,14,oid,139
140,vertex,4,oid,140
141,vertex,9,oid,141
142,vertex,20,oid,142
143,vertex,16,oid,143
144,vertex,4,oid,144
145,vertex,1,oid,145
146,vertex,24,oid,146
147,vertex,25,oid,147
148,vertex,10,oid,148
149,vertex,10,oid,149
150,vertex,2,oid,150
151,vertex,8,oid,151
152,vertex,18,oid,152
153,vertex,18,oid,153
